"TOP 15","Song Name","Streams","Artist","Artist Followers","Genre","Release Date","Popularity","Danceability","Energy","Loudness","Speechiness","Acousticness","Liveness","Tempo","Duration (ms)","Valence","Chord"
0,"Emotions 2.0","5,113,459","Ufo361, CÉLINE",1700759,"['german cloud rap', 'german hip hop']","2020-06-12",65,0.788,0.491,-9.884,0.109,0.386,0.107,98.543,146028,0.271,"G#/Ab"
0,"P2","4,769,996","Lil Uzi Vert",11821805,"['melodic rap', 'philly rap', 'rap', 'trap']","2020-03-06",73,0.775,0.72,-5.353,0.193,0.0236,0.114,155.086,234627,0.49,"B"
0,"Selfish","4,754,830","Madison Beer",3370013,"['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop']","2020-02-14",70,0.375,0.461,-6.202,0.0279,0.627,0.386,75.217,223270,0.233,"A"
0,"Surrender","4,627,942","Natalie Taylor",120208,"[]","2019-10-29",76,0.39,0.448,-8.57,0.0276,0.8,0.107,144.89,183103,0.077,"F"
0,"Turks (with Gunna & ft. Travis Scott)","4,623,279","NAV",2613211,"['canadian hip hop', 'canadian trap', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'toronto rap', 'trap']","2020-05-08",67,0.894,0.618,-4.356,0.129,0.0808,0.558,119.1,161320,0.379,"G"
0,"BYE ME FUI","4,567,732","Bad Bunny",36177712,"['latin', 'reggaeton', 'trap latino']","2020-05-10",72,0.712,0.599,-6.342,0.112,0.412,0.103,179.788,178000,0.588,"F"
1,"Vete","4,486,408","Bad Bunny",36177712,"['latin', 'reggaeton', 'trap latino']","2019-11-21",78,0.886,0.672,-4.394,0.188,0.0363,0.101,91.976,192024,0.526,"C#/Db"
0,"Like It Is","4,463,865","Kygo, Zara Larsson, Tyga",7593792,"['edm', 'pop', 'pop dance', 'tropical house']","2020-03-27",68,0.794,0.728,-6.759,0.114,0.121,0.227,105.024,183067,0.36,"C#/Db"
1,"My Oh My (feat. DaBaby)","4,413,457","Camila Cabello",22698747,"['dance pop', 'electropop', 'pop', 'post-teen pop']","2019-12-06",78,0.724,0.491,-6.024,0.0296,0.018,0.0887,105.046,170746,0.383,"G#/Ab"
0,"Let Me Down Slowly","4,393,932","Alec Benjamin",2808285,"['alt z', 'electropop', 'pop']","2018-11-16",82,0.652,0.557,-5.714,0.0318,0.74,0.124,150.073,169354,0.483,"C#/Db"
0,"BELIEVE IT","4,361,970","PARTYNEXTDOOR, Rihanna",3129968,"['pop', 'pop rap', 'r&b', 'rap', 'toronto rap', 'trap', 'urban contemporary']","2020-03-27",74,0.43,0.7,-5.35,0.264,0.0902,0.216,158.373,183219,0.731,"F#/Gb"
0,"Boot","6,375,562","Apache 207",1674348,"['german hip hop']","2020-07-31",54,0.534,0.565,-7.546,0.307,0.0627,0.112,194.034,193360,0.529,"G#/Ab"
0,"Riot","5,163,633","XXXTENTACION",29566516,"['emo rap', 'miami hip hop']","2020-06-01",70,0.509,0.542,-8.027,0.442,0.019,0.23,97.767,78681,0.151,"D#/Eb"
0,"VALLA NEIN (feat. Luciano)","5,029,858","KC Rebell, Summer Cem",1101597,"['german drill', 'german hip hop']","2020-06-05",55,0.761,0.657,-7.246,0.138,0.114,0.356,135.909,182040,0.589,"A#/Bb"
0,"I’m Ready (with Demi Lovato)","4,764,355","Sam Smith",17097317,"['dance pop', 'pop', 'post-teen pop', 'uk pop']","2020-04-16",68,0.501,0.674,-6.363,0.0408,0.00346,0.282,155.051,200838,0.152,"F"
0,"This Is America","4,727,415","Childish Gambino",8099554,"['atl hip hop', 'hip hop', 'pop rap', 'rap']","2018-05-06",71,0.854,0.463,-6.159,0.137,0.117,0.354,120.024,225773,0.549,"F"
